nombre,tipo_estudio,precio,fecha
"Supplement L Innom Vein with Autol Sub, Perc Approach",citologia,2655.59,2017-05-04 22:08:48+00:00
"Dilation of R Int Carotid with 3 Drug-elut, Open Approach",citologia,4933.49,2017-05-04 22:08:48+00:00
"Release Right Trunk Muscle, Open Approach",citologia,9984.74,2017-05-04 22:08:48+00:00
"Drain R Inguinal Region w Drain Dev, Perc Endo",citologia,12660.87,2017-05-04 22:08:48+00:00
"Alteration of Abdominal Wall with Autol Sub, Open Approach",citologia,21659.18,2017-05-04 22:08:48+00:00
"Drainage of Left Ankle Tendon, Percutaneous Approach, Diagn",citologia,27564.85,2017-05-04 22:08:48+00:00
"Inspection of Retained POC, Open Approach",citologia,2351.69,2017-05-04 22:08:48+00:00
"Fragmentation in Small Intestine, External Approach",citologia,2321.99,2017-05-04 22:08:48+00:00
"Extirpation of Matter from Left Cephalic Vein, Perc Approach",citologia,4297.06,2017-05-04 22:08:48+00:00
"Drainage of Left Hand Artery, Perc Endo Approach, Diagn",citologia,25214.73,2017-05-04 22:08:47+00:00
"Dilation of Up Art, Bifurc, with 4 Drug-elut, Perc Approach",citologia,26182.43,2017-05-04 22:08:47+00:00
"Insertion of Int Fix into R Finger Phalanx Jt, Perc Approach",citologia,8550.80,2017-05-04 22:08:47+00:00
"Release Left Lower Lung Lobe, Endo",citologia,4198.30,2017-05-04 22:08:47+00:00
"Excision of Right Retina, Percutaneous Approach, Diagnostic",citologia,26557.31,2017-05-04 22:08:47+00:00
"Drainage of Right Middle Lobe Bronchus with Drain Dev, Endo",citologia,26084.04,2017-05-04 22:08:47+00:00
"Revision of Nonaut Sub in R Metacarpal, Extern Approach",citologia,6840.43,2017-05-04 22:08:47+00:00
"Restriction of Portal Vein, Percutaneous Approach",citologia,9192.79,2017-05-04 22:08:47+00:00
"Restrict of Ileocecal Valve with Intralum Dev, Open Approach",citologia,25187.41,2017-05-04 22:08:47+00:00
"Replacement of L Metacarpal with Nonaut Sub, Perc Approach",citologia,8895.28,2017-05-04 22:08:47+00:00
Change Other Device on Right Hand,citologia,3237.97,2017-05-04 22:08:47+00:00
"Excision of Appendix, Open Approach, Diagnostic",citologia,27221.30,2017-05-04 22:08:47+00:00
"Extraction of Right Lower Arm Skin, External Approach",citologia,13556.77,2017-05-04 22:08:47+00:00
