nombre,tipo_estudio,precio
"Reposition Left Common Iliac Vein, Percutaneous Approach",citologia,2344.15
"Revision of Drainage Device in Lower Jaw, Perc Approach",biopsia,29935.36
"Replace L Hip Jt, Femoral w Ceramic, Cement, Open",citologia,9088.5
"Bypass Cystic Duct to Caud Duct, Perc Endo Approach",biopsia,22829.16
"Alteration of Left Breast with Synth Sub, Perc Approach",biopsia,7405.73
"Drainage of Right Neck Muscle, Perc Endo Approach",citologia,21241.08
"Excision of Head Lymphatic, Percutaneous Approach, Diagn",citologia,14169.09
"Drainage of Nasal Turbinate, Endo, Diagn",citologia,15281.42
"Drainage of R Lacrml Gland with Drain Dev, Open Approach",biopsia,1858.59
Planar Nucl Med Imag of Head Lymph using Oth Radionuclide,biopsia,25725.86
"Dilation of L Ulnar Art with 4 Drug-elut, Perc Approach",citologia,25418.41
"Removal of Nonautologous Tissue Substitute from Testis, Endo",biopsia,7751.05
"Revision of Autol Sub in T-lum Jt, Perc Endo Approach",citologia,1811.3
"Supplement Int Mamm, R Lymph w Synth Sub, Perc Endo",citologia,24219.34
Beam Radiation of Jejunum using Neutrons,citologia,24061.92
"Supplement L Ant Tib Art with Synth Sub, Open Approach",biopsia,11983.55
"Bypass Inf Vena Cava to Low Vein w Autol Vn, Open",citologia,13461.36
"Fusion of L Tarsal Jt with Autol Sub, Perc Endo Approach",citologia,10662.8
"Excision of Right Trunk Tendon, Open Approach, Diagnostic",citologia,13135.82
"Supplement Olfact Nrv with Autol Sub, Perc Endo Approach",citologia,27850.02
"Drainage of Neck, Percutaneous Endoscopic Approach",biopsia,27306.57
"Repair Acoustic Nerve, Percutaneous Approach",biopsia,8975.99
"Revision of Autol Sub in Nose, Extern Approach",citologia,2347.15
"Bypass R Ventricle to R Pulm Art w Zooplastic, Perc Endo",biopsia,5836.85
"Planar Nucl Med Imag Skin, Subcu & Breast w Oth Radionuclide",citologia,29161.92
"Bypass L Axilla Vein to Up Vein with Autol Vn, Open Approach",citologia,5056.22
Removal of Splint on Left Lower Extremity,biopsia,4399.53
"Dilate L Hand Art, Bifurc, w 4+ Intralum Dev, Perc Endo",citologia,2181.9
"Bypass Left Axillary Artery to Upper Arm Vein, Open Approach",biopsia,17063.95
"Excision of Right Foot Vein, Open Approach, Diagnostic",biopsia,3741.03
"Destruction of Brain, Percutaneous Approach",citologia,1223.97
"Supplement Left Lacrimal Bone with Synth Sub, Open Approach",citologia,25066.9
"Excision of Mult Parathyroid, Perc Endo Approach, Diagn",citologia,12117.86
Stereotactic Other Photon Radiosurgery of Thymus,biopsia,21527.86
"Drainage of Lumsac Jt with Drain Dev, Perc Endo Approach",citologia,26088.09
"Revision of Nonautologous Tissue Substitute in Stomach, Endo",citologia,1843.08
"Excision of Right Axillary Artery, Percutaneous Approach",citologia,21215.52
"Dilate of Sup Vena Cava with Drug-elut Intra, Open Approach",citologia,7131.14
"Dilation of L Radial Art with 3 Drug-elut, Open Approach",citologia,2115.83
"Repair Right Internal Jugular Vein, Percutaneous Approach",biopsia,11968.4
"Drainage of Femoral Nerve, Open Approach, Diagnostic",biopsia,11729.9
"Release Aortic Valve, Percutaneous Approach",biopsia,10879.13
"Drainage of Upper Lip with Drainage Device, Open Approach",citologia,29016.69
"Drainage of T-lum Jt with Drain Dev, Perc Endo Approach",citologia,18307.94
"Drainage of Right Upper Leg Tendon, Perc Endo Approach",biopsia,21124.84
"Planar Nucl Med Imag Hepatobil Sys, All w Technetium 99m",citologia,17913.47
"Excision of Left Choroid, Open Approach, Diagnostic",citologia,20316.16
"Ultrasonography of Right Internal Carotid Artery, Intravasc",biopsia,7789.42
"Extirpation of Matter from L Neck Lymph, Open Approach",citologia,3988.6
"Dilation of R Brach Art with 3 Drug-elut, Open Approach",citologia,20913.53
"Occlusion L Face Vein w Extralum Dev, Perc Endo",biopsia,9521.46
"Removal of Autol Sub from R Ear, Perc Endo Approach",citologia,13857.74
"Supplement Lum Disc with Synth Sub, Open Approach",citologia,27148.62
"Supplement Lum Jt with Autol Sub, Open Approach",biopsia,11913.64
"Dilate Intracran Art, Bifurc, w Drug-elut Intra, Perc",biopsia,15503.5
"Excision of Right Lobe Liver, Percutaneous Approach, Diagn",citologia,2445.31
"Bypass Ascending Colon to Cutaneous with Nonaut Sub, Endo",biopsia,19509.97
"Excision of Right Ovary, Open Approach",biopsia,27906.92
"Revision of Nonaut Sub in Low Jaw, Open Approach",citologia,8246.36
"Restriction of Abdominal Aorta, Bifurcation, Perc Approach",citologia,6107.46
