numero,descripcion,titulo
001,"Open bite of other finger w/o damage to nail, init encntr",0
002,"Matern care for oth or susp poor fetl grth, third tri, fts3",0
003,"Harada's disease, left eye",0
004,"Oth disp fx of lower end of left humerus, init for clos fx",0
005,"Fall, jump or pushed from a high place, undet intent, init",0
006,Osteochondritis dissecans of hip,0
007,"Pneumonia, unspecified organism",0
008,"Adverse effect of other antidepressants, initial encounter",0
009,"Age-rel osteopor w crnt path fx, unsp site, 7thK",0
010,Laceration w foreign body of r rng fngr w damage to nail,0
011,"Poisoning by penicillins, assault",0
012,"Nondisp seg fx shaft of rad, l arm, 7thN",0
013,"Poisn by oth nonsteroid anti-inflam drugs, self-harm, subs",0
014,"Displ seg fx shaft of rad, r arm, 7thF",0
015,"Athscl autol vein bypass of the extrm w gangrene, unsp extrm",0
016,Tuberculous peritonitis,0
017,"Unsp fracture of sacrum, subs encntr for fracture w nonunion",0
018,"Open bite of left thumb without damage to nail, subs encntr",0
019,"Occ of rail trn/veh inj due to clsn w miltry vehicle, subs",0
020,Laceration w foreign body of r mid finger w/o damage to nail,0
021,"Toxic effect of beryllium and its compounds, acc, sequela",0
022,"Nondisp fx of greater trochanter of r femr, 7thH",0
023,"Drown d/t being thrown ovrbrd by motion of merch ship, sqla",0
024,"Other physeal fracture of right calcaneus, 7thB",0
025,"Pressure ulcer of left lower back, stage 1",0
026,Ankylosing spondylitis,0
027,"Disp fx of greater trochanter of l femr, 7thB",0
028,"Displ commnt suprcndl fx w/o intrcndl fx l humer, 7thB",0
029,"Other specified arthritis, left elbow",0
030,"Other osteonecrosis, right ankle",0
031,Nondisp fx of shaft of unspecified metacarpal bone,0
032,"Unspecified open wound of scalp, subsequent encounter",0
033,Laceration of deep palmar arch,0
034,"Displaced dome fx unsp talus, subs for fx w delay heal",0
035,Diffuse acute infarction of small intestine,0
036,Contact with contaminated hypodermic needle,0
037,Inj intrinsic musc/fasc/tend left ring finger at wrs/hnd lv,0
038,"Salter-Harris Type II physeal fracture of l calcaneus, init",0
039,"Surgical instrumnt, materials and orth devices assoc w incdt",0
040,Disseminated paracoccidioidomycosis,0
041,"Corros first degree of unsp site lower limb, except ank/ft",0
042,"Oth incomplete lesion at C5, init",0
043,"Varus deformity, not elsewhere classified, right ankle",0
044,Acute emblsm and thombos unsp deep veins of prox low extrm,0
045,Superficial injury of knee and lower leg,0
046,"Mtrcy driver injured in clsn w rail trn/veh nontraf, sequela",0
047,"Unspecified purulent endophthalmitis, bilateral",0
048,"Burn of 3rd deg mu sites of right wrist and hand, sequela",0
049,Deficiency of multiple nutrient elements,0
050,Drug/chem diabetes w unsp diabetic rtnop w/o macular edema,0
051,"Subluxation of proximal interphaln joint of r rng fngr, init",0
052,"Displ seg fx shaft of unsp fibula, 7thR",0
053,"Snow-skier colliding with stationary object, init encntr",0
054,Vascular disorders of intestine,0
055,"Other juvenile arthritis, ankle and foot",0
056,"Laceration w fb of unsp lesser toe(s) w damage to nail, init",0
057,"Inj musc/tend the rotator cuff of right shoulder, sequela",0
058,"Displ commnt fx shaft of rad, r arm, 7thG",0
059,Syndactyly,0
060,"Corros unsp degree of unsp single finger except thumb, sqla",0
061,"Type 3 fracture of sacrum, init encntr for closed fracture",0
062,"Greenstick fx shaft of right ulna, subs for fx w malunion",0
063,"Poisoning by tricyclic antidepressants, accidental",0
064,"Unspecified injury of posterior tibial artery, right leg",0
065,Toxic effects of corrosive acids and acid-like substances,0
066,Drowning and submersion due to fall off sailboat,0
067,"Traum subdr hem w LOC of 6 hours to 24 hours, init",0
068,Calculus of GB and bile duct w chronic cholecyst w/o obst,0
069,Torus fracture of upper end of ulna,0
070,Contusion of unspecified thumb with damage to nail,0
071,Rheumatic disorders of both mitral and tricuspid valves,0
072,"Fall from, out of or through oth bldg, sequela",0
073,"Other disorders of patella, unspecified knee",0
074,Adverse effect of unsp agents primarily affecting the GI sys,0
075,"Pasngr in pk-up/van injured in clsn w ped/anml nontraf, subs",0
076,"Contusion of right great toe with damage to nail, sequela",0
077,Failed induction of labor,0
078,"Other injuries of right eye and orbit, sequela",0
079,"Traum hemor cereb, w LOC of 1-5 hrs 59 minutes, init",0
080,"Sltr-haris Type I physeal fx lower end of r fibula, init",0
081,"Pressure ulcer of unspecified heel, unstageable",0
082,"Chronic inflammation of postmastoidectomy cavity, left ear",0
083,"Villonodular synovitis (pigmented), left hand",0
084,"Corros unsp deg of unsp site left low limb, ex ank/ft, sqla",0
085,"Underdosing of macrolides, sequela",0
086,"Inj intrinsic musc/fasc/tend thmb at wrs/hnd lv, sequela",0
087,"Discitis, unspecified, thoracic region",0
088,"Adverse effect of barbiturates, subsequent encounter",0
089,Other specified injury of middle and inner ear,0
090,Other stimulant abuse with stimulant-induced sleep disorder,0
091,"Nondisp segmental fracture of shaft of unsp fibula, sequela",0
092,"Displ transverse fx shaft of unsp rad, 7thM",0
093,"Pnctr w fb of left lesser toe(s) w/o damage to nail, sequela",0
094,Intvrt disc stenosis of neural canal of thoracic region,0
095,Other specified type of carcinoma in situ of breast,0
096,"Oth fx low end unsp ulna, 7thN",0
097,Wegener's granulomatosis without renal involvement,0
098,"Posterior sublux of proximal end of tibia, left knee, init",0
099,"Toxic effect of beryllium and its compounds, self-harm, subs",0
100,"Crohn's disease, unspecified, with fistula",0
101,"Underdosing of unsp hormones and synthetic sub, sequela",0
102,"Person outside car inj in clsn w pick-up truck nontraf, subs",0
103,Public administrative building as place,0
104,Reversible pulpitis,0
105,Idiopathic non-specific interstitial pneumonitis,0
106,"Poisoning by oth vaccines and biolg substnc, self-harm, subs",0
107,Osseous and sublux stenosis of intvrt foramin of head region,0
108,"Laceration w fb of r rng fngr w/o damage to nail, subs",0
109,"Nondisp fx of lateral condyle of r tibia, 7thB",0
110,"Displaced transcondylar fracture of unsp humerus, sequela",0
111,"Frostbite with tissue necrosis of unspecified ankle, sequela",0
112,"Assault by sharp glass, initial encounter",0
113,Other specified types of non-Hodgkin lymphoma,0
114,"Oth incomplete lesion at T2-T6, subs",0
115,Congenital absence of bladder and urethra,0
116,Traumatic rupture of right ulnocarpal (palmar) ligament,0
117,"Early syphilis, unspecified",0
118,"Multiple fx of ribs, right side, subs for fx w routn heal",0
119,"Strain flexor musc/fasc/tend r idx fngr at wrs/hnd lv, subs",0
120,"Injury of r int carotid, intcr w LOC of 31-59 min, subs",0
121,Burn of unspecified degree of lip(s),0
122,"Oth osteopor w crnt path fx, unsp low leg, 7thD",0
123,"Corros first deg of shldr/up lmb, ex wrs/hnd unsp site, init",0
124,Spinal instabilities,0
125,Chronic embolism and thrombosis of unspecified vein,0
126,Malig immunoproliferative dis and certain oth B-cell lymph,0
127,"Oth osteopor w current path fracture, r forearm, init",0
128,Adverse effect of other topical agents,0
129,"Displ transverse fx l patella, subs for clos fx w nonunion",0
130,"Spontaneous rupture of extensor tendons, unspecified thigh",0
131,"Poisoning by propionic acid derivatives, accidental, init",0
132,"Oth athscl nonbiol bypass of the extremities, right leg",0
133,"Unspecified open wound of vagina and vulva, subs encntr",0
134,Crushing injury of right hand,0
135,"Oth disorders of optic nerve, NEC, bilateral",0
136,Other neonatal hypoglycemia,0
137,"Unsp injury of oth blood vessels of thorax, right side, subs",0
138,"Pasngr in pk-up/van inj in clsn w rail trn/veh in traf, sqla",0
139,"Pathological fracture, right ulna",0
140,"Intermittent hydrarthrosis, hip",0
141,"Unsp fx shaft of humerus, unsp arm, subs for fx w malunion",0
142,"Disord of amnio fluid and membrns, unsp, first tri, fetus 2",0
143,Nondisp fx of proximal phalanx of unspecified finger,0
144,"External constriction of right wrist, subsequent encounter",0
145,"Malignant melanoma of eyelid, including canthus",0
146,"Disorder of pigmentation, unspecified",0
147,"Pnctr w/o fb of right lesser toe(s) w damage to nail, init",0
148,"Toxic effect of noxious substnc eaten as food, assault, subs",0
149,Hypertelorism,0
150,"Disp fx of 3rd metatarsal bone, l ft, 7thG",0
151,"Nondisp associated transv/post fx right acetabulum, init",0
152,"Lac w fb of lower back and pelvis w penet retroperiton, subs",0
153,Primary genital syphilis,0
154,Other biotin-dependent carboxylase deficiency,0
155,Pnctr w/o fb of r frnt wl of thorax w penet thoracic cavity,0
156,Athscl nonbiological bypass of the extremities w rest pain,0
157,Lobster-claw left hand,0
158,"Other fracture of occiput, left side, 7thK",0
159,"Oth ABO incompat react due to tranfs of bld/bld prod, sqla",0
160,"Conjoined twin pregnancy, first trimester",0
161,"Antifungal antibiotics, systemically used",0
162,Dislocation of proximal interphalangeal joint of unsp thumb,0
163,"Dislocation of T10/T11 thoracic vertebra, sequela",0
164,"Displacement of heart valve prosthesis, initial encounter",0
165,"Strain of intrns msl/tnd at ank/ft level, unsp foot, sequela",0
166,"Oth traum nondisp spondylolysis of second cervcal vert, init",0
167,Unspecified injury of unspecified kidney,0
168,"Unsp nondisp fx of surg nk of l humer, 7thD",0
169,"Disloc of metacarpal (bone), proximal end of left hand, subs",0
170,"Greenstick fx shaft of humer, r arm, 7thD",0
171,"Open bite of abd wall, right upper q w penet perit cav",0
172,"Person on outside of dune buggy injured nontraf, subs",0
173,"Burn unsp degree of unsp mult fngr (nail), inc thumb, init",0
174,"Displ oblique fx shaft of l rad, 7thH",0
175,"Serous retinal detachment, right eye",0
176,Endocarditis and heart valve disord in dis classd elswhr,0
177,"Toxic effect of lacrimogenic gas, assault, initial encounter",0
178,Tuberculous meningoencephalitis,0
179,"Ganglion, left wrist",0
180,"Displ oblique fx shaft of r femr, 7thP",0
181,"Mech compl of internal fixation device of vertebrae, subs",0
182,"Chlamydial infection of genitourinary tract, unspecified",0
183,"Poisoning by caffeine, intentional self-harm, subs encntr",0
184,"Unspecified injury of left thigh, initial encounter",0
185,"Fracture of xiphoid process, subs for fx w delay heal",0
186,"Fracture of coronoid process of left mandible, init",0
187,"Non-ABO incompat w delayed hemolytic transfs react, init",0
188,"Drowning and submersion due to sailboat sinking, subs encntr",0
189,"Chronic embolism and thombos unsp veins of up extrem, bi",0
190,"Oth disrd of bone density and structure, forearm",0
191,"Contusion of left ring finger w/o damage to nail, subs",0
192,Adult antisocial behavior,0
193,Fracture of third metatarsal bone,0
194,"Nontraumatic ischemic infarction of muscle, left forearm",0
195,"Other sprain of unspecified hip, initial encounter",0
196,Extreme immaturity of newborn,0
197,Unspecified fracture of sacrum,0
198,"Lac w/o fb of unsp lesser toe(s) w/o damage to nail, init",0
199,Labor and delivery comp by oth evidence of fetal stress,0
200,"Other infective spondylopathies, cervicothoracic region",0
201,Carrier of other specified bacterial diseases,0
202,Cereb infrc d/t unsp occls or stenos of right mid cereb art,0
203,"Fracture of unspecified part of scapula, left shoulder",0
204,"Insect bite (nonvenomous) of oral cavity, sequela",0
205,"Corrosion of other parts of alimentary tract, init encntr",0
206,"Sprain of deltoid ligament of left ankle, initial encounter",0
207,"Cicatricial entropion of left eye, unspecified eyelid",0
208,"Osteonecrosis due to previous trauma, unspecified shoulder",0
209,"Monteggia's fx left ulna, subs for clos fx w delay heal",0
210,Athscl type of bypass of the right leg w ulceration of calf,0
211,Embryonic cyst of broad ligament,0
212,"Nondisp fx of hook pro of hamate bone, unsp wrs, 7thB",0
213,"Milt op w acc deton onboard marine weapons, milt, subs",0
214,"Other injury of unspecified kidney, sequela",0
215,Disorders of visual cortex in (due to) vascular disorders,0
216,"Superficial foreign body, right hip, initial encounter",0
217,Other disorders of brain,0
218,Strain of extn musc/fasc/tend at forearm level,0
219,"Foliclar lymphoma grade IIIb, extrnod and solid organ sites",0
220,"Poisn by oth agents prim acting on the resp sys, undet, subs",0
221,Sltr-haris Type I physeal fx upper end of right femur,0
222,"Inj oth muscles and tendons at ank/ft level, left foot",0
223,Displaced fracture of anterior process of right calcaneus,0
224,"Part traum amp at level betw elbow and wrist, left arm, sqla",0
225,"Nondisp fx of triquetrum bone, unsp wrs, 7thG",0
226,Food additives allergy status,0
227,"Abscess of eyelid right eye, unspecified eyelid",0
228,Athscl type of bypass of the left leg w ulcer oth prt foot,0
229,"Displ unsp condyle fx low end r femr, 7thQ",0
230,"Oth osteopor w current path fracture, unsp lower leg, init",0
231,"Poisoning by dental drugs, topically applied, assault",0
232,"Oligohydramnios, third trimester, fetus 2",0
233,Other doubling of uterus,0
234,"Lacerat musc/tend ant grp at low leg level, left leg, init",0
235,"Subluxation of T3/T4 thoracic vertebra, initial encounter",0
236,"Other specified injuries of lower back, sequela",0
237,"Superior glenoid labrum lesion of left shoulder, subs encntr",0
238,"Superficial frostbite of other sites, initial encounter",0
239,"Displ oblique fx shaft of l femr, 7thG",0
240,Sternal manubrial dissociation,0
241,"Sprain of MCP joint of left index finger, sequela",0
242,"Incomplete atypical femoral fracture, left leg, 7thD",0
243,"Cluster headache syndrome, unspecified",0
244,"Hypostatic pneumonia, unspecified organism",0
245,"Acute recurrent tonsillitis, unspecified",0
246,Typhoid fever with other complications,0
247,"Unspecified open wound of left elbow, initial encounter",0
248,"Other kyphosis, cervical region",0
249,"Maternal care for fetal problem, unsp, third tri, fetus 4",0
250,"Pnctr w foreign body of r idx fngr w damage to nail, subs",0
251,"Corrosion of third degree of right wrist, sequela",0
252,"Nondisp fx of nk of 3rd MC bone, l hand, 7thK",0
253,Dislocation of distal radioulnar joint of left wrist,0
254,"Burn of first deg mult sites of unsp ankle and foot, sequela",0
255,Impaired fasting glucose,0
256,"Torus fx upper end of unsp ulna, subs for fx w routn heal",0
257,Non-pressure chronic ulcer of right thigh,0
258,"Adverse effect of unsp antipsychotics and neuroleptics, subs",0
259,"Underdosing of other anti-common-cold drugs, subs encntr",0
260,Nondisp unsp condyle fracture of lower end of unsp femur,0
261,Unspecified injury of left renal vein,0
262,"Oth fx first MC bone, right hand, subs for fx w malunion",0
